id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
1007807393604542612,23847468,67.0,f,2.0,t,t,Brønshøj-Husum,Entire villa,Entire home/apt,6,1 bath,3.0,1893.0,2,365,179,0,4.818525443935496,f,0.7332381191537447
551288574794466890,88698846,71.0,f,1.0,t,t,Frederiksberg,Entire condo,Entire home/apt,2,1 bath,2.0,1290.0,6,16,11,10,5.0,f,0.49
51074407,16032992,83.0,f,5.0,t,t,Frederiksberg,Private room in rental unit,Private room,3,1 shared bath,2.0,875.0,3,12,23,4,4.75,f,0.14
991148860713926228,102370296,100.0,f,1.0,t,t,Amager st,Private room in rental unit,Private room,2,1 shared bath,1.0,690.0,1,1125,262,9,5.0,f,3.97
1003702944564084667,325546110,17.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,3,1 bath,1.0,878.0,4,365,15,1,5.0,f,0.71
52665436,5943778,54.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,4,1 bath,3.0,1150.0,5,14,5,6,4.67,f,0.23
620314469498057950,3795019,88.0,f,1.0,t,t,Indre By,Entire loft,Entire home/apt,3,1 bath,2.0,1320.4675313807531,3,365,0,13,4.69,f,0.66
17362284,72284260,44.0,f,2.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,845.0,5,21,26,36,4.72,f,0.44
990455936387983656,187610263,98.0,f,595.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,1409.0,1,1125,79,0,4.818525443935496,f,0.7332381191537447
36203815,8625991,100.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,4,1 bath,2.0,950.0,5,1125,16,15,4.93,f,0.29
748346420240437354,15827740,88.0,t,5.0,t,t,Frederiksberg,Entire villa,Entire home/apt,6,2.5 baths,4.0,3500.0,3,180,358,1,5.0,f,0.15
964559865800984937,533514948,94.0,f,2.0,t,t,Amager Vest,Entire serviced apartment,Entire home/apt,6,2 baths,3.0,3797.0,2,365,261,7,5.0,f,1.84
949181969044239400,124671050,100.0,f,1.0,t,t,Amager Vest,Private room in condo,Private room,1,Half-bath,1.0,550.0,1,7,11,1,4.0,f,0.4
912346904500263815,36644323,70.0,f,2.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,3,1 bath,2.0,650.0,3,365,45,3,5.0,f,0.54
731781426625048319,6861947,100.0,t,2.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,7,1.5 baths,3.0,2000.0,3,1125,202,11,5.0,f,1.01
44017738,352755854,0.0,f,2.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,3,40,0,6,4.83,f,0.14
2964641,15127972,100.0,t,1.0,t,t,Østerbro,Entire rental unit,Entire home/apt,6,1.5 baths,3.0,1320.4675313807531,3,1125,0,38,4.89,f,0.69
45364245,12944423,100.0,f,2.0,t,t,Frederiksberg,Entire condo,Entire home/apt,8,1.5 baths,4.0,2607.0,4,365,54,3,5.0,f,0.17
39080999,299530222,71.55430761099366,f,1.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,4,1.5 baths,3.0,1320.4675313807531,1,1125,0,5,4.6,f,0.1
861623081283238203,57479662,75.0,f,3.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,6,1 bath,4.0,2000.0,4,21,338,0,4.818525443935496,t,0.7332381191537447
50272284,107631335,69.0,t,1.0,t,t,Nørrebro,Entire condo,Entire home/apt,4,1 bath,1.0,1057.0,2,1125,12,25,4.96,f,0.85
892046992606065865,6041373,67.0,f,3.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,4,1.5 baths,3.0,1450.0,5,365,117,2,5.0,f,0.37
10937113,28305178,71.55430761099366,f,1.0,t,t,Amager Vest,Entire condo,Entire home/apt,4,1 bath,3.0,3000.0,4,15,358,13,5.0,f,0.14
916661911615220417,87058855,100.0,t,2.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,8,2 baths,5.0,3029.0,1,25,305,18,5.0,f,2.98
39263493,588038,100.0,t,9.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,4,1 bath,2.0,1320.4675313807531,3,38,0,44,4.98,f,0.88
696835205464299480,40890985,100.0,f,1.0,t,t,Frederiksberg,Private room in condo,Private room,2,1 shared bath,1.0,850.0,5,35,364,4,5.0,f,0.25
933846091445706096,8641965,33.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,6,2 baths,3.0,1320.4675313807531,1,365,0,1,5.0,f,0.21
539879,2652733,80.0,f,7.0,t,t,Østerbro,Entire home,Entire home/apt,10,2.5 baths,8.0,3000.0,6,50,96,56,4.76,f,0.4
825177669165587818,432984499,63.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,900.0,60,365,355,4,5.0,f,0.49
